image,ground_truth,prediction,CER_score
test036_1,B1618UAE,B1618UAE,0.0
test037_0,L1775V0,L1775V,0.1429
test037_1,L300RX,L300RX,0.0
test037_2,L1879VG,B79VC,0.5714
test038_0,D1523YCN,D1523YCN,0.0
test038_1,L1877ACU,L1877ACU,0.0
test039_0,L1069VK,L1069VK,0.0
test040_0,S1595LL,S1595LL,0.0
test041_0,B1231JJA,B1231JJA,0.0
test042_0,AD1174SF,AD1174SF,0.0
test043_0,W1898YW,W1898YW,0.0
test043_1,W1470PG,W1470PG,0.0
test044_0,L1930KF,L1930KF,0.0
test044_1,N1004HE,N1006HE,0.1429
test045_0,S1347LJ,S1347LJ,0.0
test046_0,L1470ABK,L1470ABK,0.0
test046_1,L1265MX,L1265MX,0.0
test047_0,N1524SY,N1524SY,0.0
test047_1,L1678ACE,L1678ACE,0.0
test048_0,L9316BC,L9316BC,0.0
test048_1,W1838AY,W1838AY,0.0
test049_0,N1376DE,N1376DE,0.0
test049_1,N79AP,N79AP,0.0
test050_0,L1265OF,L1265OF,0.0
test050_1,N1095G,N1095G,0.0
test051_0,N1718HC,N1718HC,0.0
test052_0,N6497KS,N6497KS,0.0
test052_1,N5235ABX,N5235ABX,0.0
test052_2,N4980KJ,N4980KJ,0.0
test053_0,N1365AAO,N1365AA,0.125
test054_0,N1077AAK,N787AAK,0.375
test054_1,N1084AAO,N1084AA,0.125
test055_0,N1610KS,N1610KS,0.0
test056_0,N924CIA,Z7CIA,0.5714
test056_1,N1623HB,N1623HB,0.0
test056_2,L1430HF,L1430HF,0.0
test057_0,N1342T,N1342T,0.0
test057_1,N4145AB,A745AB,0.4286
test057_2,N1396AAH,N1396AAH,0.0
test058_0,N3153ACB,N3153ACB,0.0
test058_1,N5829KJ,T5029UJ,0.4286
test058_2,N1780JL,N1780JL,0.0
test059_0,W8774PA,W8774PA,0.0
test059_1,B9162FXU,B9162FXU,0.0
test060_0,L1846JE,L184JE,0.1429
test060_1,M1457ITA,M1457IT,0.125
test061_0,AA1971KJ,AA1971KJ,0.0
test061_1,BD1146DH,BD1146DH,0.0
test062_0,B9654PEU,B965PEU,0.125
test062_1,AE7244S,AE7244S,0.0
test063_0,S1208BI,S1208BI,0.0
test064_0,AE8137G,AE8137G,0.0
test065_0,H1706SW,H1706SW,0.0
test066_0,T1220HS,T1220HS,0.0
test066_1,H1790ZY,H1790ZY,0.0
test067_0,L1855BR,L1855BR,0.0
test067_1,AB1274EV,AB1274EV,0.0
test068_0,B2310UZS,B2310UZS,0.0
test068_1,G1264CM,G1264CM,0.0
test069_0,AA1138AK,AA1138AK,0.0
test070_0,B2160TOB,B2160TOB,0.0
test070_1,B2597BYK,B2597BYK,0.0
test071_0,G9545AG,G9545AG,0.0
test072_0,BG1870IB,BG1870IB,0.0
test073_0,T1187HB,I187HB,0.2857
test073_1,A1330FP,A1330FP,0.0
test074_0,G1368GE,G1368GE,0.0
test074_1,B1081CMR,B1081CMR,0.0
test075_0,G2474XZ,G27LXZ,0.2857
test075_1,G9173BP,G9173BP,0.0
test075_2,7066OF,O00UP,0.8333
test076_0,G2151ASF,G2157ASF,0.125
test076_1,E500MA,E500MA,0.0
test076_2,G4689SN,G2899SN,0.4286
test077_0,G1754QZ,G1754,0.2857
test078_0,H1413DH,H1413DH,0.0
test079_0,T1688GY,T1688GY,0.0
test079_1,A1260AJ,A1234XYZ,0.7143
test080_0,D77HSB,D77HSB,0.0
test080_1,B1861TOI,B1961TQI,0.25
test080_2,D1160ADE,D1160ADE,0.0
test081_0,F8097BD,B097BD,0.2857
test081_1,F1992AM,F1992XYZ,0.4286
test082_0,E1824YZ,E1824YZ,0.0
test082_1,B9093UEX,O93VEX,0.5
test083_0,F5052AAE,F5052AAE,0.0
test083_1,F5452CQ,F5452CO,0.1429
test084_0,B1158PYP,B1158PYP,0.0
test084_1,B1242VOY,B1242VOY,0.0
test085_0,B1315KIF,B1315KIF,0.0
test085_1,B2938FVJ,B2938FVJ,0.0
test085_2,B2560SKZ,B2560XYZ,0.25
test086_0,B1291NOJ,B1291NOJ,0.0
test086_1,B1556NRC,B1556NRC,0.0
test087_0,B6823WXR,B6823WXR,0.0
test087_1,B6317NXK,I7NXK,0.5
test087_2,F2215FCQ,F2215FCO,0.125
test087_3,4039NHR,O39NHR,0.2857
test088_0,B2190TYB,B2190YTB,0.25
test088_1,B1902VKA,B1902VKA,0.0
test089_0,D8609N,B609N,0.3333
test089_1,A8406ZE,A8406ZE,0.0
test089_2,B1246KRK,B1246KRK,0.0
test090_0,T9314E,T9314E,0.0
test090_1,N9579U,N9579UZ,0.1667
test091_0,B2910KZW,B2910KZW,0.0
test091_1,B9721KXV,B9721KXV,0.0
test092_0,B1104AAA,B1104AAA,0.0
test092_1,T1579FN,T1579FN,0.0
test092_2,B2346POC,B234P,0.375
test093_0,B2026BIU,B2026BU,0.125
test094_0,G1255EJ,G1255EJ,0.0
test095_0,B1201KAD,B1201KAD,0.0
test095_1,B2310JUK,B2310JUK,0.0
test095_2,B28YHH,B28YHH,0.0
test096_0,B1354COJ,B1354COJ,0.0
test096_1,B1502NRO,B1502NRO,0.0
test097_0,B1650NOG,B1650NOC,0.125
test097_1,B6354SVL,B6354SVL,0.0
test098_0,B1779DOB,B1779DOB,0.0
test099_0,B2017PBQ,B2017PBQ,0.0
test099_1,B1892WZT,B1892WZT,0.0
test100_0,B1071PRG,B1071PRG,0.0
test100_1,B2134PZJ,B2134PZJ,0.0
